timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694873895346,537,Dummy HTTP Request,200,OK,EngItem Scenario 1-1,text,true,,1896,259,1,1,https://www.google.com/,0,0,427
1694873895346,458,Dummy HTTP Request-0,301,Moved Permanently,EngItem Scenario 1-1,text,true,,790,113,1,1,https://google.com/,0,0,427
1694873895809,74,Dummy HTTP Request-1,200,OK,EngItem Scenario 1-1,text,true,,1106,146,1,1,https://www.google.com/,0,0,51
1694873895258,537,Config Environment Variables,200,"Number of samples in transaction : 1, number of failing samples : 0",EngItem Scenario 1-1,,true,,1896,259,1,1,null,0,829,427
1694873896692,2050,Cloud Login_3dspace_admcommoncs_4_Cloud_ODT,401,"Number of samples in transaction : 10, number of failing samples : 1",EngItem Scenario 1-1,,false,,16199,6818,1,1,null,0,0,99
1694873896693,58,Login_LT_Using_Action_Cloud,200,,EngItem Scenario 1-1,text,true,,1054,152,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas//login?action=lt,58,0,50
1694873896770,347,Login_3dpassport_ticket,302,,EngItem Scenario 1-1,,true,,1049,519,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas/login?service=https://R1132100512396-eu1-space.3dexperience.3ds.com:443/enovia,347,0,0
1694873897123,29,Login_Passport_cas_login_token1_space-token,200,,EngItem Scenario 1-1,text,true,,1077,524,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas/login?service=https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/&xrequestedwith=xmlhttprequest,29,0,0
1694873897161,573,Login_CSRF_space_token_ST-502440-ltnpQs0VrZrjohcuzxoe-cas,200,,EngItem Scenario 1-1,text,true,,3774,1110,1,1,https://r1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/application/CSRF?tenant=R1132100512396&ticket=ST-504826-1ezKZRbHwEsUbYr2yIXQ-r1132100512396,24,0,17
1694873897161,24,Login_CSRF_space_token_ST-502440-ltnpQs0VrZrjohcuzxoe-cas-0,302,,EngItem Scenario 1-1,,true,,1212,287,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/application/CSRF?tenant=R1132100512396,24,0,17
1694873897187,134,Login_CSRF_space_token_ST-502440-ltnpQs0VrZrjohcuzxoe-cas-1,302,,EngItem Scenario 1-1,,true,,1470,409,1,1,https://r1132100512396-eu1.iam.3dexperience.3ds.com:443/login?service=https%3A%2F%2Fr1132100512396-eu1-space.3dexperience.3ds.com%2Fenovia%2Fresources%2Fv1%2Fapplication%2FCSRF%3Ftenant%3DR1132100512396%26serverId%3DMT_Metadata_0_7025,134,0,30
1694873897324,410,Login_CSRF_space_token_ST-502440-ltnpQs0VrZrjohcuzxoe-cas-2,200,,EngItem Scenario 1-1,text,true,,1092,414,1,1,https://r1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/application/CSRF?tenant=R1132100512396&ticket=ST-504826-1ezKZRbHwEsUbYr2yIXQ-r1132100512396,410,0,21
1694873897796,20,Login_get_securityContext,200,,EngItem Scenario 1-1,text,true,,932,428,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/pno/person/getsecuritycontext?tenant=R1132100512396,20,0,0
1694873897822,38,Login_Federated0,200,,EngItem Scenario 1-1,,true,,586,304,1,1,https://R1132100512396-eu1-fedsearch.3dexperience.3ds.com/federated/login?tenant=R1132100512396&xrequestedwith=xmlhttprequest,38,0,32
1694873897865,93,Login_Federated1,401,,EngItem Scenario 1-1,text,false,,1389,797,1,1,https://r1132100512396-eu1-fedsearch.3dexperience.3ds.com/federated/login?tenant=R1132100512396&xrequestedwith=xmlhttprequest&serverId=FederatedSearch_Metadata_0,70,0,0
1694873897865,70,Login_Federated1-0,302,,EngItem Scenario 1-1,,true,,776,379,1,1,https://R1132100512396-eu1-fedsearch.3dexperience.3ds.com/federated/login?tenant=R1132100512396&xrequestedwith=xmlhttprequest&ticket=ST-502440-ltnpQs0VrZrjohcuzxoe-cas,70,0,0
1694873897937,21,Login_Federated1-1,401,,EngItem Scenario 1-1,text,false,,613,418,1,1,https://r1132100512396-eu1-fedsearch.3dexperience.3ds.com/federated/login?tenant=R1132100512396&xrequestedwith=xmlhttprequest&serverId=FederatedSearch_Metadata_0,21,0,15
1694873897963,15,Login_Passport_cas/loginSearch_token3,200,,EngItem Scenario 1-1,text,true,,1145,598,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas/login?service=https://R1132100512396-eu1-fedsearch.3dexperience.3ds.com/federated/login?tenant=R1132100512396&xrequestedwith=xmlhttprequest&serverId=serverIDFedSearchMetaData_KOKO,15,0,0
