timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694874671524,589,Dummy HTTP Request,200,OK,GetSetPosition EngInstance Scenario 1-1,text,true,,1897,259,1,1,https://www.google.com/,0,0,475
1694874671524,507,Dummy HTTP Request-0,301,Moved Permanently,GetSetPosition EngInstance Scenario 1-1,text,true,,790,113,1,1,https://google.com/,0,0,475
1694874672037,76,Dummy HTTP Request-1,200,OK,GetSetPosition EngInstance Scenario 1-1,text,true,,1107,146,1,1,https://www.google.com/,0,0,53
1694874671441,589,Config Environment Variables,200,"Number of samples in transaction : 1, number of failing samples : 0",GetSetPosition EngInstance Scenario 1-1,,true,,1897,259,1,1,null,0,871,475
1694874672968,2433,Cloud Login_3dspace_admcommoncs_4_Cloud_ODT,401,"Number of samples in transaction : 10, number of failing samples : 1",GetSetPosition EngInstance Scenario 1-1,,false,,16199,6818,1,1,null,0,0,83
1694874672969,57,Login_LT_Using_Action_Cloud,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1054,152,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas//login?action=lt,57,0,49
1694874673070,359,Login_3dpassport_ticket,302,,GetSetPosition EngInstance Scenario 1-1,,true,,1049,519,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas/login?service=https://R1132100512396-eu1-space.3dexperience.3ds.com:443/enovia,359,0,0
1694874673431,29,Login_Passport_cas_login_token1_space-token,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1077,524,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas/login?service=https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/&xrequestedwith=xmlhttprequest,28,0,0
1694874673464,547,Login_CSRF_space_token_ST-513076-Eim6SZF0M15h0SxS2L9R-cas,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,3774,1110,1,1,https://r1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/application/CSRF?tenant=R1132100512396&ticket=ST-513080-4ftD1qEGNrh9dK4CVZcI-r1132100512396,26,0,18
1694874673464,26,Login_CSRF_space_token_ST-513076-Eim6SZF0M15h0SxS2L9R-cas-0,302,,GetSetPosition EngInstance Scenario 1-1,,true,,1212,287,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/application/CSRF?tenant=R1132100512396,26,0,18
